,antecedents,consequents,antecedent support_before,consequent support_before,support_before,confidence_before,lift_before,leverage_before,conviction_before,antecedent support_dec,consequent support_dec,support_dec,confidence_dec,lift_dec,leverage_dec,conviction_dec
10,frozenset({'state_province_Yucatan'}),frozenset({'product_id_Better Noodle Soup'}),0.07161000984455329,0.0007353030542422732,0.00010330704067866648,0.0014426340801086217,1.961958503756319,5.0651981725647194e-05,1.0007083529199292,0.06712141882673943,0.000927694406548431,0.00010914051841746248,0.0016260162601626016,1.752749880439981,4.687235361230176e-05,1.0006994591856233
55,frozenset({'state_province_Zacatecas'}),frozenset({'product_id_Better Canned Tuna in Oil'}),0.1374773636043219,0.0008082256711919202,0.00018230654237411732,0.0013260840737302744,1.640734909811327,7.11938079013186e-05,1.0005185460381811,0.12703956343792633,0.0007094133697135061,0.00021828103683492497,0.001718213058419244,2.4220195611948188,0.00012815747204949292,1.0010105360048653
109,frozenset({'education_Partial College'}),frozenset({'product_id_Big Time Frozen Corn'}),0.09341387231249772,0.0006988417457674498,0.00012153769491607823,0.0013010668748373666,1.8617475025172814,5.6256181310314674e-05,1.0006030096849963,0.09271487039563438,0.0007639836289222374,0.00016371077762619373,0.0017657445556209536,2.3112334986967125,9.287813448628207e-05,1.00100353290947
58,frozenset({'education_Partial College'}),frozenset({'product_id_Consolidated 200 MG Ibuprofen'}),0.09341387231249772,0.0006441497830552145,0.00012153769491607823,0.0013010668748373666,2.019820403674409,6.136516933163531e-05,1.0006577728983113,0.09271487039563438,0.0005457025920873125,0.00010914051841746248,0.0011771630370806356,2.1571512654502647,5.854577331752558e-05,1.0006322046529426
69,"frozenset({'num_children_at_home_(1.0, 2.0]'})",frozenset({'product_id_Booker Low Fat Sour Cream'}),0.09504247742437318,0.0006319960135636067,0.00012153769491607823,0.001278772378516624,2.023386779460948,6.147122806466528e-05,1.0006476045037045,0.09506139154160982,0.0010368349249658935,0.00010914051841746248,0.001148105625717566,1.1073176626986525,1.0577547651264036e-05,1.000111398598109
38,frozenset({'occupation_Management'}),frozenset({'product_id_Hilltop Conditioning Shampoo'}),0.14359678654334643,0.0007292261694964693,0.00018230654237411732,0.0012695725772323317,1.7409860347016504,7.759200777111066e-05,1.0005410332887628,0.14319236016371079,0.0006002728512960436,0.00016371077762619373,0.0011432926829268292,1.9046216740576496,7.775629130691305e-05,1.0005436413728344
50,frozenset({'education_Partial College'}),frozenset({'product_id_Fabulous Cranberry Juice'}),0.09341387231249772,0.0007231492847506654,0.00011546081017027432,0.0012360135310954983,1.709209366806832,4.7908635221701604e-05,1.0005134989379803,0.09271487039563438,0.0007639836289222374,0.00010914051841746248,0.0011771630370806356,1.5408223324644748,3.830787527755082e-05,1.000413666360908
31,frozenset({'education_Partial College'}),frozenset({'product_id_Big Time Chicken TV Dinner'}),0.09341387231249772,0.0007596105932254889,0.00011546081017027432,0.0012360135310954983,1.627167317200104,4.4502643207487857e-05,1.000476992507063,0.09271487039563438,0.0008731241473396999,0.00010914051841746248,0.0011771630370806356,1.3482195409064155,2.8188926257563442e-05,1.0003043972148908
47,frozenset({'education_Partial College'}),frozenset({'product_id_Black Tie Eyeglass Screwdriver'}),0.09341387231249772,0.0007717643627170967,0.00011546081017027432,0.0012360135310954983,1.6015426350394726,4.336731253608327e-05,1.0004648236967573,0.09271487039563438,0.0009822646657571623,0.00010914051841746248,0.0011771630370806356,1.1984173696945915,1.806997723757605e-05,1.0001951280688737
78,frozenset({'education_Partial College'}),frozenset({'product_id_Nationeel Fudge Brownies'}),0.09341387231249772,0.0008386100949209398,0.00011546081017027432,0.0012360135310954983,1.473883439492848,3.712299384335806e-05,1.0003978952400752,0.09271487039563438,0.0005457025920873125,0.00010914051841746248,0.0011771630370806356,2.1571512654502647,5.854577331752558e-05,1.0006322046529426
97,frozenset({'state_province_BC'}),frozenset({'product_id_Plato Strawberry Jelly'}),0.08891697760060283,0.0007170724000048615,0.0001093839254244704,0.001230180426462548,1.7155595815069828,4.5624014895227625e-05,1.0005137400193738,0.07961800818553888,0.0006002728512960436,0.00010914051841746248,0.0013708019191226869,2.2836313789021125,6.134798962941732e-05,1.0007715867604385
49,frozenset({'state_province_BC'}),frozenset({'product_id_Carrington Frozen Chicken Wings'}),0.08891697760060283,0.000753533708479685,0.0001093839254244704,0.001230180426462548,1.6325486340147095,4.238198554628308e-05,1.0004772338016645,0.07961800818553888,0.0005457025920873125,0.00010914051841746248,0.0013708019191226869,2.5119945167923237,6.569276497378506e-05,1.0008262319273469
124,"frozenset({'total_children_(4.0, 5.0]'})",frozenset({'product_id_Big City Canned Mixed Fruit'}),0.10494779956003354,0.0006380728983094106,0.00012761457966188212,0.0012159814707585407,1.9057093225246091,6.0650233025416424e-05,1.0005786121541071,0.09478854024556617,0.0007639836289222374,0.00010914051841746248,0.0011514104778353482,1.507114071880911,3.67236254604133e-05,1.000387873450468
21,"frozenset({'num_children_at_home_(1.0, 2.0]'})",frozenset({'product_id_Red Wing Copper Pot Scrubber'}),0.09504247742437318,0.0007231492847506654,0.00011546081017027432,0.0012148337595907928,1.6799211244600143,4.673091059990759e-05,1.00049228251626,0.09506139154160982,0.0010368349249658935,0.00021828103683492497,0.002296211251435132,2.214635325397305,0.00011971806606872652,1.0012622747760123
