sno,sna,tot,sarea,lat,lng,ar,sareaen,snaen,aren
0034,捷運行天宮站(1號出口),20,中山區,25.058369,121.532934,捷運行天宮1號出口後方(松江路側),Zhongshan Dist.,MRT Xingtian Temple Sta. (Exit 1),The side of Songjiang Rd.(the exit 1 of the MRT station of Xingtian Temple)
0035,捷運行天宮站(3號出口),20,中山區,25.059978,121.533302,捷運行天宮站3號出口站外,Zhongshan Dist.,MRT Xingtian Temple Sta. (Exit 3),The outside of the MRT station of Xingtian Temple.
0036,臺大資訊大樓,72,大安區,25.02101,121.54153,辛亥路二段(臺大外語學院外),Daan Dist.,NTU Information Bldg.,"Sec. 2, Xinghai Rd. (the outside ofLanguage Center of National Taiwan University)"
0037,捷運東門站(4號出口),46,大安區,25.0337,121.528988,信義路/麗水街口(鄰近永康街),Daan Dist.,MRT Dongmen Sta. (Exit 4),Ren’ai Rd. & Lishuei St. 
0038,臺灣師範大學(圖書館),32,大安區,25.026603,121.529440,和平東路/師大路口(北側)(鄰近臺灣師範大學),Daan Dist.,NTNU Library,The N. side of Heping E. Rd. & Shihda Rd.
0039,南港世貿公園,26,南港區,25.058,121.61422,三重路/經貿二路88巷(東北側),Nangang Dist.,Nangang Park,"The N.E. side of Sanchong Rd. & Ln. 88, Jingmao 2nd Rd."
0040,玉成公園,34,南港區,25.04287,121.58640,玉成街247號前,Nangang Dist.,Yucheng Park,"The front of No. 247, Yucheng St."
0041,中研公園,30,南港區,25.047425,121.613706,研究院路二段12巷/研究院路二段12巷58弄(西南側),Nangang Dist.,Academia Park,"The S.W side of Ln. 12, Sec. 2, Academia Rd. & Aly. 58, Ln. 12, Sec. 2, Academia Rd."
0042,捷運後山埤站(1號出口),38,信義區,25.04431,121.58174,中坡北路/忠孝東路五段(西北側),Xinyi Dist.,MRT Houshanpi Sta.(Exit 1),The S.W side of Jhongsiao E. Rd. & Jhongpo N. Rd.
0043,凌雲市場,30,南港區,25.035639,121.614154,研究院路三段68巷/凌雲街(東北側),Nangang Dist.,Linyun Market,The N.E. side of St. Lingyun & Academia Rd.
0044,捷運南港軟體園區站(2號出口),36,南港區,25.05973,121.616187,捷運南港軟體園區站2號出口外,Nangang Dist.,MRT Nangang Software Park Sta.(Exit 2),The outside of the MRT station exit 2 of Taipei Nangang Exhibition Center
0045,捷運公館站(2號出口),30,大安區,25.01476  ,121.534538 ,羅斯福路四段/舟山路(東北側)(鄰近公館夜市),Daan Dist.,MRT Gongguan Sta.(Exit 2),The N.W. side of Roosevelt Rd.& Sinhai Rd.
0046,南港國小,38,南港區,25.056504,121.611389,惠民街/興東街(南側停車場),Nangang Dist.,Nangang Elementary School,The opposite of parking lots of exit Singdong St. (Nan-Gang Elementary School)
0047,捷運忠孝新生站(4號出口),32,大安區,25.042275,121.533939,忠孝東路三段 / 新生南路一段口 東北側(鄰近國立台北科技大學),Daan Dist.,MRT Zhongxiao Xinsheng Sta.(Exit 4),"The intersection of Sec. 3, Zhongxiao E. Rd. & Ln. 10, Sec. 3, Zhongxiao E. Rd."
0048,南港車站(忠孝東路),38,南港區,25.05247,121.608202,忠孝東路七段與忠孝東路七段415巷交叉口(鄰近南港高鐵站),Nangang Dist.,Nangang Rail Sta.(Zhongxiao E.Rd.),"The intersection of Sec. 7, Zhongxiao E. Rd. & Ln. 415, Sec. 7, Zhongxiao E. Rd"
0049,龍門廣場,52,大安區,25.040901,121.548252  ,忠孝東路/敦化南路(西南側廣場）(鄰近東區地下街),Daan Dist.,Longmen Square,"Sec. 1, Dunhua S. Rd. & Ln. 236, Sec. 1, Dunhua S. Rd."
0050,民權運動公園,52,松山區,25.062002,121.560186,民權東路四段/新中街交叉口,Songshan Dist.,MinQuan Park,"The intersection of Sec. 4, Mincyuan E. Rd. & Xinzhong St."
0051,建國農安街口,28,中山區,25.065031,121.536775  ,建國北路/農安街口(中油旁邊空地)(鄰近榮星公園(原榮星花園)),Zhongshan Dist.,Jianguo & Nongan Intersection,(Behind empty area of CPC coporation) Jianguo N. Rd. & Nong’an St.
0052,建國長春路口,16,中山區,25.054761,121.536925,建國北路/長春路口(北側),Zhongshan Dist.,Jianguo & Changchun Intersection,The N. side of Jianguo N. Rd. & Changchun Rd.
0053,八德市場,26,中山區,25.044781,121.536609,建國南路一段/市民大道交叉口(北側) (鄰近國立台北科技大學),Zhongshan Dist.,Bade Market,"The intersection of Sec.1, Jianguo S. Rd. & Civic Blvd."
0054,臺北市立圖書館(總館),30,大安區,25.028798,121.538073,建國南路二段/建國南路二段151巷(東北側),Daan Dist.,Taipei Public Library,"The N.E. side of Sec. 2, Jianguo S. Rd. & Ln. 151, Sec. 2, Jianguo S. Rd."
0055,臺北田徑場,46,松山區,25.049505,121.549408,敦化北路3號(鄰近臺北小巨蛋/台北田徑場),Songshan Dist.,Taipei Stadium,"No.3, Dunhua N. Rd."
0056,仁愛林森路口,42,中正區,25.038954,121.522334,林森南路/仁愛路一段路口(東北側)(鄰近臺北市青少年發展處/中正親子館),Zhongzheng Dist.,Renai & Linsen Intersection,"The N.E. side of Linsen S. Rd & Sec. 1, Ren’ai Rd.(42)"
0057,新生和平路口,36,大安區,25.026217,121.53519,新生南路二段/和平東路二段(東北側),Daan Dist.,Xinsheng & Heping Intersection,"The N.E. side of Sec. 2, Xinsheng S. Rd. & Sec. 2, Heping E. Rd"
0058,捷運善導寺站(1號出口),28,中正區,25.045267,121.522200 ,天津街/忠孝東路一段(東北側)(鄰近台北國際藝術村/蝴蝶宮昆蟲博物館/台北希望廣場),Zhongzheng Dist.,MRT Shandao Temple Sta(Exit 1),"The N.E. side of Tianjin St. & Sec. 1, Zhongxiao E. Rd."
0059,林森公園,32,中山區,25.052227,121.525805,林森北路/南京東路一段(鄰近林森公園/康樂公園),Zhongshan Dist.,Linsen Park,"Linsen N. Rd. & Sec. 1, Nanjing E. Rd."
0060,中山行政中心,30,中山區,25.064317,121.533487 ,松江路/農安街口(鄰近行天宮),Zhongshan Dist.,Zhongshan Dist. Admin. Office,Songjiang Rd. & Nong’an St.
0061,台灣科技大學,86,大安區,25.0131,121.539723 ,基隆路四段/基隆路四段73巷交叉口(鄰近國立台灣科技大學),Daan Dist.,N.T.U.S.T,"The intersection of Sec. 4, Keelung Rd. & Ln. 73, Sec. 4, Keelung Rd"
0062,南昌公園,34,中正區,25.026827,121.520258,和平西路一段/南昌路,Zhongzheng Dist.,Nanchang Park,"Sec. 1, Heping W. Rd.& Nanchang Rd."
0063,仁愛醫院,24,大安區,25.037569,121.545632,大安路一段/仁愛路四段,Daan Dist.,Taipei City Hospital Renai Branch,"Da’an Rd. & Sec. 4, Sinyi Rd."
0064,國家圖書館,34,中正區,25.037773,121.517029,中山南路/貴陽街口(西南側)(鄰近台北賓館),Zhongzheng Dist.,National Central Library,The S.W. side of Zhongshan S. Rd. & Guiyang St.
0065,青年公園3號出口,38,萬華區,25.022725,121.502708 ,青年路/青年路106巷(東側)(鄰近青年公園),Wanhua Dist.,Youth Park(Exit 3),"The E. side of Qingnian Rd. & Ln. 106, Qingnian Rd."
0066,師範大學公館校區,42,文山區,25.007528,121.537188 ,師大公館校區校門口(汀州路側),Wenshan Dist.,NTNU Gongguan Campus,The side of Tingzhou Rd. (National Taiwan Normal University- Gongguan Campus)
0067,捷運臺大醫院(4號出口),40,中正區,25.042973,121.516428,公園路/襄陽路(西南側)(鄰近二二八和平紀念公園/國立臺灣博物館/台北賓館),Zhongzheng Dist.,MRT Nat’l Taiwan U. Hospital Sta.(Exit 4),The S.W. side of Gongyuan Rd. & Siangyang Rd.
0068,國興青年路口,36,萬華區,25.025865,121.506536,國興路/青年路(西南側)(鄰近萬華親子館),Wanhua Dist.,Guoxing & Qingnian Intersection,The S.W. side of Guoxing Rd. & Qingnian Rd.
0069,興豐公園,28,文山區,24.999837,121.547778,興隆路二段123巷/興隆路二段(西北側),Wenshan Dist.,Xingfong Park,"The N.W. side of Ln. 123, Sec. 2, Xinglong Rd. & Sec. 2, Xinglong Rd."
0070,捷運台北101/世貿站,32,信義區,25.032752,121.561645,莊敬路/信義路五段(東南側)(鄰近台北世界貿易中心(世貿)/台北國際會議中心/信義公民會館(四四南村)/信義親子館),Xinyi Dist.,MRT Taipei 101/World Trade Center Sta.,"The S.E. side of Zhuangjing Rd. & Sec. 5, Xinyi Rd."
0071,捷運信義安和站(4號出口),20,大安區,25.032985,121.554204,通化街/信義路四段(西南側)(鄰近臨江街夜市(通化夜市)/大安親子館),Daan Dist.,MRT Xinyi Anhe Sta.(Exit.4),"The S.W. side of Tonghua St. & Sec. 4, Xinyi Road., Daan Dist."
0072,新生長安路口,26,中山區,25.048611,121.529346,新生北路一段/長安東路二段交叉口(北側),Zhongshan Dist.,Xinsheng & Changan Intersection,"The intersection of Sec. 1, Xinsheng N. Rd. & Sec. 2, Chang’an E. Rd."
0073,酒泉延平路口,32,大同區,25.072228,121.510195,延平北路四段/酒泉街(西北側),Datong Dist.,Jiuquan & Yanping Intersection,"The N.W. side of Sec. 4, Yanping N. Rd. & Jiuquan St."
0074,信義連雲街口,22,中正區,25.033817,121.530547,信義路二段/連雲街(東北側),Zhongzheng Dist.,Xinyi & Lianyun Intersection,"The N.S. side of Lianyun St. & Sec. 2, Xinyi Rd."
0075,基隆光復路口,20,信義區,25.0300508,121.557635,基隆路二段/光復南路(東北側)(鄰近通化夜市),Xinyi Dist.,Keelung & Guangfu Intersection,"The intersection of Sec. 2, Keelung Rd. & Guangfu S. Rd."
0076,新生長春路口,20,中山區,25.056387,121.527522,新生北路二段/新生北路二段68巷交叉口(新生橋下),Zhongshan Dist.,Xinsheng & Changchun Intersection,"Under the bridge- the intersection of Sec. 2, Xinsheng N. Rd. & Ln. 68, Sec. 2, Xinsheng N. Rd."
0077,民生活動中心,32,松山區,25.059147,121.56297,民生東路五段/三民路口(西北側)(鄰近松山親子館),Songshan Dist.,Minsheng Activity Center,"The N.W. side of Sec. 5, Minsheng E. Rd. & Sanmin Rd."
